taxonID;name
221221;Lathyrus latifolius
915;Lathyrus latifolius subsp. heterophyllus
221222;Lathyrus linifolius
221228;Lathyrus pratensis
221232;Lathyrus sylvestris
917;Lathyrus tuberosus
221239;Lotus corniculatus
224132;Lotus corniculatus var. borealis
224133;Lotus corniculatus var. corniculatus
224134;Lotus corniculatus var. sativus
221306;Lotus maritimus
221240;Lotus pedunculatus
224135;Lotus pedunculatus var. pedunculatus
999;Lotus tenuis
221246;Lupinus nootkatensis
221248;Lupinus polyphyllus
221254;Medicago lupulina
1023;Medicago minima
224140;Medicago sativa subsp. falcata
221275;Melilotus altissimus
1035;Melilotus dentatus
1111;Onobrychis viciifolia
221289;Ononis spinosa
224145;Ononis spinosa subsp. hircina
224146;Ononis spinosa subsp. procurrens
1112;Ononis spinosa subsp. spinosa
1123;Ornithopus perpusillus
221295;Oxytropis campestris
224150;Oxytropis campestris subsp. campestris
220834;Oxytropis lapponica
1142;Oxytropis pilosa
221304;Securigera varia
221315;Trifolium arvense
221317;Trifolium aureum
221318;Trifolium campestre
221322;Trifolium dubium
221324;Trifolium fragiferum
221327;Trifolium hybridum
224154;Trifolium hybridum subsp. hybridum
221331;Trifolium medium
221333;Trifolium montanum
221338;Trifolium pratense
224159;Trifolium pratense var. pratense
221339;Trifolium repens
221343;Trifolium spadiceum
1604;Trifolium striatum
221355;Ulex europaeus
221360;Vicia cassubica
221361;Vicia cracca
221368;Vicia hirsuta
221371;Vicia lathyroides
221381;Vicia sativa
224169;Vicia sativa subsp. nigra
224171;Vicia sativa subsp. segetalis
221382;Vicia sepium
224172;Vicia sepium subsp. montana
224173;Vicia sepium subsp. sepium
221384;Vicia tenuifolia
221385;Vicia tetrasperma
220853;Polygala amarella
1262;Polygala comosa
265348;Polygala serpyllifolia
222133;Polygala vulgaris
260351;Polygala vulgaris subsp. collina
265350;Polygala vulgaris subsp. vulgaris
224498;Polygala vulgaris var. vulgaris
219918;Agrimonia eupatoria
11;Agrimonia procera
224940;Agrimonia eupatoria × procera
222934;Alchemilla alpina
222015;Alchemilla acutiloba
222935;Alchemilla baltica
1848;Alchemilla borealis
222940;Alchemilla cymatophylla
264470;Alchemilla eversiana
222941;Alchemilla filicaulis
224941;Alchemilla filicaulis var. filicaulis
224942;Alchemilla filicaulis var. vestita
222942;Alchemilla glabra
222943;Alchemilla glaucescens
222944;Alchemilla glomerulans
20;Alchemilla heptagona
222947;Alchemilla micans
222949;Alchemilla monticola
222950;Alchemilla murbeckiana
222951;Alchemilla norvegica
222952;Alchemilla oleosa
22;Alchemilla oxyodonta
222954;Alchemilla plicata
222955;Alchemilla propinqua
21;Alchemilla samuelssonii
222958;Alchemilla sarmatica
222961;Alchemilla subcrenata
222962;Alchemilla subglobosa
1849;Alchemilla taernaënsis
222964;Alchemilla wichurae
24;Alchemilla xanthochlora
222224;Aphanes arvensis
1707;Aphanes australis
222792;Argentina anserina
224944;Argentina anserina subsp. anserina
221186;Comarum palustre
1873;Cotoneaster canescens
222991;Cotoneaster divaricatus
223005;Cotoneaster integerrimus
265368;Cotoneaster simonsii
6331571;Cotoneaster soederby-carlensis
223337;Dasiphora fruticosa
264474;Dasiphora fruticosa subsp. fruticosa
219668;Dryas octopetala
1879;Drymocallis rupestris
223026;Filipendula ulmaria
223027;Filipendula vulgaris
223030;Fragaria vesca
223032;Fragaria viridis
711;Geum hispidum
264481;Geum macrophyllum subsp. perincisum
223037;Geum rivale
224958;Geum rivale var. rivale
224959;Geum rivale var. subalpinum
223038;Geum urbanum
1906;Potentilla anglica
223053;Potentilla argentea
224965;Potentilla argentea var. argentea
224967;Potentilla argentea var. demissa
223056;Potentilla crantzii
223057;Potentilla erecta
1286;Potentilla heptaphylla
2078;Potentilla incana
224969;Potentilla neglecta
223067;Potentilla reptans
1289;Potentilla sterilis
1909;Potentilla sterneri
223071;Potentilla subarenaria
223074;Potentilla thuringiaca
224984;Potentilla thuringiaca subsp. goldbachii
224985;Potentilla thuringiaca subsp. thuringiaca
223073;Potentilla verna
223202;Poterium sanguisorba
225037;Poterium sanguisorba subsp. balearicum
225036;Poterium sanguisorba subsp. sanguisorba
223082;Prunus mahaleb
1397;Rosa agrestis
225007;Rosa caesia
224999;Rosa canina
225000;Rosa corymbifera
1398;Rosa × inodora
232135;Rosa micrantha
225021;Rosa mollis
223119;Rosa rubiginosa
223120;Rosa rugosa
223122;Rosa sherardii
1401;Rosa spinosissima
264492;Rosa × subcanina
264493;Rosa × subcollina
1400;Rosa tomentella
1912;Rosa tomentosa
225022;Rosa villosa
225008;Rosa vosagiaca
223136;Rubus chamaemorus
223129;Rubus arcticus
223156;Rubus idaeus
223134;Rubus caesius
6319612;Rubus antecedens
223131;Rubus aureolus
223135;Rubus camptostachys
267005;Rubus cordatiformis
1913;Rubus decurrentispinus
1914;Rubus dissimulans
1916;Rubus fabrimontanus
264498;Rubus fabrimontanus var. fabrimontanus
264499;Rubus fabrimontanus var. tuberculatiformis
1917;Rubus fasciculatus
1918;Rubus glauciformis
223150;Rubus gothicus
1919;Rubus hallandicus
1920;Rubus hylanderi
1923;Rubus lidforssii
1925;Rubus mortensenii
225033;Rubus nordicus
6005228;Rubus oredssonii
1926;Rubus pruinosus
6324893;Rubus ruboculus
264501;Rubus sordirosanthus
223192;Rubus suecicus
223195;Rubus wahlbergii
6331509;Rubus wahlbergioides
1930;Rubus walsemannii
6035014;Rubus wendtii
1403;Rubus axillaris
1405;Rubus divaricatus
223151;Rubus grabowskii
1407;Rubus hartmanii
1408;Rubus infestus
223165;Rubus lindebergii
1924;Rubus loehrii
1413;Rubus muenteri
223176;Rubus pedemontanus
223178;Rubus plicatus
1411;Rubus polyanthemus
1406;Rubus pseudopallidus
223183;Rubus radula
1415;Rubus septentrionalis
223193;Rubus sulcatus
1418;Rubus vestitus
225035;Rubus vestitus f. albiflorus
264507;Rubus vestitus f. vestitus
1929;Rubus caesius × camptostachys
1927;Rubus idaeus × raduloides
223201;Sanguisorba dodecandra
223203;Sanguisorba officinalis
223205;Sibbaldia procumbens
1508;Sorbus obtusifolia
6037534;Sorbus teodori
1628;Ulmus laevis
222859;Myrica gale
