taxonID;name;vernacular;Observationer
243412;Myospila bimaculata;;10
243243;Helina protuberans;;10
243424;Phaonia atrocyanea;;10
243472;Phaonia villana;;10
243779;Staegeria kunzei;;10
244025;Calliphora uralensis;nordspyfluga;10
243918;Stevenia umbratica;;10
243923;Agria affinis;;10
233735;Rondania dispar;;10
200059;Meigenia incana;;10
200083;Picconia incurva;;10
200418;Eulabidogaster setifacies;;10
200292;Actia nigroscutellata;;10
241266;Agromyza albipennis;;10
241324;Amauromyza morionella;;10
241373;Cerodontha muscina;;10
241415;Liriomyza bryoniae;;10
241654;Phytomyza tanaceti;;10
241668;Pseudonapomyza atra;;10
6330919;Neoalticomerus fabricius;;10
6051165;Periscelis laszloi;;10
240262;Opetia nigra;;10
240513;Aenigmatias lubbockii;;10
240579;Megaselia abernethae;;10
240580;Megaselia abludens;;10
240679;Megaselia furcilla;;10
6028425;Megaselia labellaspinata;;10
240759;Megaselia mortenseni;;10
240884;Phalacrotophora berolinensis;;10
240905;Spiniphora bergenstammi;;10
240917;Triphleba gilvipes;;10
241865;Themira gracilis;;10
241985;Borborillus uncinatus;;10
242082;Norrbomia fumipennis;;10
242209;Spelobia pseudosetaria;;10
242227;Thoracochaeta zosterae;;10
200491;Cheilosia ingerae;lappörtblomfluga;10
6331398;Cheilosia luteicornis;naken kådblomfluga;10
200830;Xylota triangularis;granvedblomfluga;10
200756;Platycheirus urakawensis;trollfotblomfluga;10
200599;Eupeodes curtus;småfläckig fältblomfluga;10
200800;Syrphus attenuatus;fjällsolblomfluga;10
240344;Dorylomorpha rufipes;;10
240985;Lonchaea albitarsis;;10
250260;Myopites inulaedyssentericae;;10
249461;Dilophus borealis;;10
6003064;Culicoides albicans;;10
251716;Atrichopogon fusculus;;10
256321;Microtendipes tarsalis;;10
235458;Micropsectra apposita;;10
235542;Tanytarsus multipunctatus;;10
235543;Tanytarsus nemorosus;;10
235801;Limnophyes asquamatus;;10
236057;Macropelopia nebulosa;;10
250344;Simulium annulus;;10
250373;Simulium intermedium;;10
250393;Simulium truncatum;;10
251681;Paramormia ustulata;;10
251704;Psychoda phalaenoides;;10
6010008;Apiloscatopse flavicollis;;10
267187;Apiloscatopse scutellata;;10
6010035;Scatopse lapponica;;10
6010027;Thripomorpha bifida;;10
6049851;Asphondylia miki;;10
6004558;Dasineura virgaeaureae;;10
6049890;Karshomyia caulicola;;10
6004193;Macrolabis stellariae;våtarvsgallmygga;10
6049901;Mycodiplosis inimica;;10
6004187;Polystepha malpighii;;10
6004183;Rabdophaga degeerii;;10
244252;Aprionus corniculatus;;10
6033196;Aprionus hugini;;10
244269;Aprionus inquisitor;;10
244317;Aprionus spiniger;;10
253631;Campylomyza stegetfore;;10
244360;Neurolyga bifida;;10
6033208;Peromyia aurantiaca;;10
6033233;Peromyia manca;;10
267152;Asynapta saliciperda;;10
6004500;Svenartia spungisi;;10
6049911;Tetraneuromyia brevipalpis;;10
6033281;Glossostyles perspicua;;10
6004368;Monepidosis scanica;;10
267175;Parepidosis venustior;;10
6004403;Porricondyla roleks;;10
6004437;Zaitzeviola latistylata;;10
6004280;Gynapteromyia heteroptera;;10
6033343;Nikandria brevitarsis;;10
6004290;Winnertzia discretella;;10
6049918;Winnertzia divergens;;10
250708;Greenomyia mongolica;;10
250720;Rondaniella dimidiata;;10
250785;Brachypeza bisignata;;10
250816;Cordyla flaviceps;;10
250930;Exechia seriata;;10
250967;Rymosia signatipes;;10
250975;Synplasta gracilis;;10
250994;Dynatosoma reciprocum;;10
251098;Mycetophila marginata;;10
251021;Sceptonia longisetosa;;10
250492;Mycomya cinerascens;;10
250571;Phthinia mira;;10
263865;Bradysia excelsa;;10
263933;Chaetosciara estlandica;;10
249564;Gonomyia simplex;;10
249623;Molophilus pleuralis;;10
249673;Pilaria fuscipennis;;10
249489;Dicranomyia morio;;10
249852;Tipula couckei;;10
6008815;Trichocera sparsa;;10
6010067;Ramularia acris;;10
259443;Mycosphaerella bulgarica;;10
6021573;Ramularia cynoglossi;;10
230036;Sphaerellothecium minutum;;10
230105;Stigmidium ephebes;;10
232259;Stigmidium mycobilimbiae;;10
259561;Mytilinidion mytilinellum;;10
259279;Pseudomassariosphaeria grandispora;;10
259824;Paraphaeosphaeria michotii;;10
259130;Paraleptosphaeria praetermissa;;10
259182;Lophiostoma caudatum;;10
259198;Lophiostoma myriocarpum;;10
259284;Massariosphaeria scirpina;;10
259298;Melanomma juniperinum;;10
259891;Phaeosphaeria minuscula;;10
260128;Pyrenophora phaeocomes;;10
6009127;Pyrenophora teres;kornfläck;10
260033;Preussia vulgaris;;10
6009102;Dendryphion comosum;;10
228674;Taeniolella arthoniae;lavsammetsmögel;10
230134;Taeniolella delicata;;10
6021635;Venturia populina;poppelskorv;10
233080;Capronia pulcherrima;;10
229677;Polyblastia intermedia;mellanmursporing;10
228741;Sclerococcum amygdalariae;;10
230554;Sarcogyne distinguenda;klotsporig skifferlav;10
249990;Rinodina oleae;;10
230454;Lecanora subcarnea var. soralifera;;10
229384;Aspicilia praeruptorum;;10
229916;Rhizoplaca subdiscrepans;gul navelkantlav;10
1786;Byssoloma marginatum;trådöga;10
6000409;Micarea hylocomii;;10
249967;Micarea paratropa;;10
6051063;Biatora radicicola;;10
228969;Lecania turicensis;;10
230071;Stereocaulon capitellatum;huvudpåskrislav;10
230458;Lecidea auriculata subsp. brachyspora;;10
229116;Lecidea huxariensis;;10
229156;Lecidea scabridula;;10
228892;Halecania viridescens;;10
6000220;Blastenia hungarica;ljus rostorangelav;10
229764;Protothelenella petri;mossögonlav;10
229249;Cryptodiscus cladoniicola;;10
260155;Robergea cubicularis;;10
228183;Oxneriaria dendroplaca;fingrad gråstenslav;10
6038856;Ochrolechia brodoi;kvistörnlav;10
259579;Naeviopsis epilobii;;10
259838;Pezicula aesculea;;10
259151;Leptotrochila lugubris;skallerskorpa;10
258880;Hymenoscyphus vitellinus;;10
258849;Hyalopeziza rubefaciens;;10
229708;Polydesmia lichenis;;10
259024;Lachnum pudibundum;;10
259631;Niptera melatephroides;;10
258014;Calycellina lachnobrachya;;10
259938;Pirottaea senecionis;;10
259939;Pirottaea strigosa;;10
260121;Pyrenopeziza potentillae;;10
3261;Sclerotinia lentiformis;alkotteskål;10
5065;Monilinia aucupariae;rönnbärsskål;10
5185;Myriosclerotinia duriaeana;;10
6351;Tympanis hypopodia;;10
6011145;Eleutheromyces subulatus;;10
228810;Epicladonia sandstedei;;10
229795;Thelignya lacustris;;10
229200;Synalissina degeliana;;10
5961;Saccobolus minimus;;10
6141;Thecotheus crustaceus;;10
3507;Coprotus aurora;;10
5082;Morchella spongiola;;10
5683;Pseudombrophila ripensis;;10
5727;Pyronema domesticum;;10
5800;Rhodoscypha ovilla;rosenskål;10
259917;Calosphaeria polyblasta;;10
260440;Cytospora massariana;;10
258476;Diaporthe dulcamarae;;10
258473;Diaporthe viticola;;10
259286;Mazzantia galii;;10
259989;Pleuroceras bottnicum;;10
6021742;Melanconiella carpinicola;;10
258806;Breviappendix rubi;;10
258913;Hypospilina bifrons;;10
259628;Hapsidospora globosa;;10
259596;Nectriella bloxamii;;10
259621;Niesslia exilis;;10
259622;Niesslia exosporioides;;10
4298;Helminthosphaeria odontiae;;10
260311;Strattonia insignis;;10
260219;Sordaria alcina;;10
257677;Arnium caballinum;;10
257908;Arnium hirtum;;10
257916;Arnium sudermanniae;;10
252390;Apiothyrium arcticum;;10
260063;Pseudomassaria islandica;;10
258890;Hypocopra merdaria;;10
259609;Nemania prava;;10
264146;Vezdaea retigera;markmetallav;10
1998;Cystolepiota moelleri;rosenpuderskivling;10
3590;Cortinarius craticius;;10
3646;Cortinarius lamoureae;;10
249307;Cortinarius melitosarx;;10
3750;Cortinarius trossingenensis;kulspindling;10
3769;Cortinarius violilamellatus;sandpelargonspindling;10
236388;Hebeloma cavipes;;10
4577;Inocybe diabolica;;10
4636;Inocybe rennyi;;10
6039;Stagnicola perplexa;;10
106599;Coprinopsis episcopalis;;10
5649;Coprinopsis pannucioides;klungspröding;10
3488;Coprinopsis pseudoradiata;;10
3443;Tulosesus congregatus;;10
5758;Ramariopsis subarctica;fjällfingersvamp;10
4318;Hemimycena cephalotricha;luden vithätta;10
2972;Amanita eliae;isabellflugsvamp;10
6052451;Amanita simulans;alvarflugsvamp;10
3338;Clitopilus daamsii;barkmjölmussling;10
236710;Entoloma allochroum;;10
245049;Tricholoma ulvinenii;;10
253721;Dendrothele tetracornis;;10
4500;Amylocorticiellum cremeoisabellinum;skuggskinn;10
253795;Amyloxenasma grisellum;grått lackskinn;10
3080;Athelicium stridii;;10
2061;Sclerogaster compactus;hårdtryffel;10
4060;Erythricium hypnophilum;mossvinterskinn;10
6329;Tubulicrinis strangulatus;strypnålskinn;10
1372;Repetobasidium vile;gärdselhylsskinn;10
6081;Subulicium lautum;spikskinn;10
6331023;Skeletocutis exilis;;10
4056;Epithele typhae;starrskinn;10
1518;Spongipellis pachyodon;tandticka;10
1632;Uncobasidium luteolum;krokskinn;10
6384;Vararia ochroleuca;gräddkvastskinn;10
5869;Russula galochroa;gräddkremla;10
233205;Amaurodon cyaneus;turkosskinn;10
6200;Trechispora incisa;;10
6230;Carcinomyces polyporina;rörsnylting;10
6002403;Microbotryum stygium;syreblomsot;10
6002076;Puccinia pazschkei;;10
6001495;Doassansia niesslii;;10
6001677;Urocystis violae;violsot;10
6001684;Ustilago corcontica;;10
6009057;Umbelopsis ramanniana;;10
234885;Cicadula quinquenotata;;11
234925;Paramesus obtusifrons;;11
6045556;Kybos strobli;;11
250400;Zygina schneideri;;11
234800;Eupteryx signatipennis;;11
234761;Ossiannilssonola callosa;;11
234628;Javesella bottnica;;11
234592;Unkanodes excisa;;11
226654;Elatophilus nigrellus;;11
226633;Lyctocoris campestris;;11
6319481;Tingis ampliata;;11
226300;Mecomma dispar;;11
6043351;Macrotylus solitarius;;11
226371;Psallodema fieberi;;11
6010145;Psallus montanus;;11
226404;Tytthus pygmaeus;;11
226622;Himacerus boops;;11
226444;Nysius groenlandicus;;11
245846;Amphorophora rubi;;11
246170;Dysaphis plantaginea;;11
246168;Dysaphis ranunculi;;11
246398;Sitobion avenae;;11
258408;Calaphis flava;;11
246332;Periphyllus lyropictus;;11
246345;Prociphilus bumeliae;;11
6324528;Matsucoccus pini;;11
256683;Peliococcus calluneti;;11
258583;Craspedolepta nervosa;;11
258588;Rhinocola aceris;;11
258624;Cacopsylla elegantula;;11
258661;Heterotrioza chenopodii;;11
214502;Coleophora antennariella;skogsfrylesäckmal;11
214516;Coleophora jaernaensis;mindre mållesäckmal;11
100691;Coleophora partitella;kilstreckad röllikesäckmal;11
102419;Depressaria silesiaca;nordlig röllikeplattmal;11
214337;Elachista stelviella;nordgräsmal;11
102446;Gnorimoschema herbichi;grå småstävmal;11
214730;Scrobipalpula diffluella;binkesmåstävmal;11
216321;Caloptilia azaleella;azaleastyltmal;11
213860;Trifurcula cryptella;alvardvärgmal;11
215362;Ancylosis oblitella;marskmott;11
6010337;Ephestia woodiella;förnamott;11
102473;Niditinea truncicolella;hästmyrebomal;11
214998;Apotomis fraterculana;svart fjällknoppvecklare;11
215034;Argyroploce aquilonana;fjällbrantsbrokvecklare;11
100775;Grapholita caecana;skogsklövervecklare;11
250432;Acleris kochiella;almvårvecklare;11
216322;Zelleria oleastrella;olivspinnmal;11
205983;Sorex minutissimus;mindre dvärgnäbbmus;11
6012021;Emys orbicularis;europeisk kärrsköldpadda;11
6010515;Lycopodium alpinum × complanatum;fjällummer × plattlummer;11
