Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
101153;6165;Korynetes ruficornis;;Art;16;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(iii)
101376;6167;Necrobia ruficollis;rödhalsad köttbagge;Art;23;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Skog (S) - Har betydelse;VU;B2ab(iii)
100802;6194;Dasytes nigrocyaneus;;Art;36;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
100322;6220;Apalochrus femoralis;;Art;53;Havsstrand (H) - Stor betydelse;VU;B2ab(iii)
105359;6225;Nepachys cardiacae;;Art;135;Skog (S) - Stor betydelse;NT;B2ab(iii)
102233;6228;Ebaeus lapplandicus;;Art;22;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
101111;6232;Hypebaeus flavipes;;Art;177;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
105366;6248;Clanoptilus barnevillei;;Art;43;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
105363;6254;Malachius aeneus;;Art;345;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii)
101553;6262;Phloiophilus edwardsii;;Art;10;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
101520;6273;Peltis grossa;större flatbagge;Art;768;Skog (S) - Stor betydelse;NT;B2ab(iii)c(iv)
101905;6277;Thymalus oblongus;nordlig flatbagge;Art;35;Skog (S) - Stor betydelse;VU;B2ab(iii)
100524;6282;Calitys scabra;skrovlig flatbagge;Art;652;Skog (S) - Stor betydelse;NT;A2c+3c
102349;6287;Temnoscheila caerulea;;Art;31;Skog (S) - Stor betydelse;CR;B1ab(iii)c(iv)+2ab(iii)c(iv)
100481;6298;Biphyllus lunatus;bandad brandsvampbagge;Art;29;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;B2ab(iii,iv)c(iv)
100838;6300;Diplocoelus fagi;enfärgad brandsvampbagge;Art;351;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100501;6308;Bothrideres bipunctatus;tallbarkbagge;Art;70;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;B2ab(iii)
101488;6311;Oxylaemus variolosus;;Art;2;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;B2ab(iii)
101888;6313;Teredus cylindricus;;Art;2;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;CR;B1ab(iii)+2ab(iii)
100576;6322;Cerylon deplanatum;platt gångbagge;Art;1047;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii,iv)
100577;6326;Cerylon impressum;tallgångbagge;Art;219;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
105636;6448;Nephus limonii;saltängsdvärgpiga;Art;29;Havsstrand (H) - Stor betydelse, Skog (S) - Har betydelse;NT;B2ab(iii)
101758;6466;Scymnus silesiacus;reliktdvärgpiga;Art;49;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;NT;B2ab(iii)
101725;6484;Clypastraea pusilla;platt punktbagge;Art;24;Skog (S) - Stor betydelse;VU;B2ab(iii)
105556;6517;Atomaria fulvipennis;;Art;18;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii)
100425;6529;Atomaria munda;;Art;40;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
100426;6530;Atomaria nigripennis;;Art;50;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Skog (S) - Har betydelse;VU;B2ab(iii)
100420;6547;Atomaria abietina;;Art;65;Skog (S) - Stor betydelse;VU;B2ab(iii)
6002970;6548;Atomaria affinis;;Art;339;Skog (S) - Stor betydelse;NT;B2ab(iii)
100421;6549;Atomaria alpina;;Art;197;Skog (S) - Stor betydelse;NT;B2ab(iii,iv)
100429;6551;Atomaria badia;;Art;211;Skog (S) - Stor betydelse;NT;B2ab(iii,iv)
100422;6554;Atomaria diluta;;Art;111;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100423;6555;Atomaria elongatula;;Art;57;Skog (S) - Stor betydelse;NT;B2ab(iii,iv)
100424;6561;Atomaria lapponica;;Art;63;Skog (S) - Stor betydelse;NT;B2ab(iii)
105527;6597;Antherophagus silaceus;;Art;42;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
105502;6606;Cryptophagus cylindrellus;;Art;35;Skog (S) - Stor betydelse;NT;B2ab(iii)
100752;6613;Cryptophagus fallax;;Art;132;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
100753;6614;Cryptophagus fuscicornis;;Art;108;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
105511;6617;Cryptophagus intermedius;;Art;54;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
100755;6623;Cryptophagus lysholmi;stubbfuktbagge;Art;102;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
100758;6633;Cryptophagus quadrihamatus;nordlig fuktbagge;Art;33;Skog (S) - Stor betydelse;VU;B2ab(iii)
100763;6673;Cucujus cinnaberinus;cinnoberbagge;Art;963;Skog (S) - Stor betydelse;EN;B2ab(iii)
101517;6676;Pediacus depressus;;Art;208;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
105480;6678;Pediacus fuscus;;Art;415;Skog (S) - Stor betydelse;NT;B2ab(iii)
101209;6694;Leiestes seminiger;svartvingad svampbagge;Art;324;Skog (S) - Stor betydelse;NT;"A2c+3c; B2ab(iii,iv)"
101250;6697;Lycoperdina bovistae;mörk röksvampsbagge;Art;15;Skog (S) - Stor betydelse;NT;B2ab(iii)
101251;6698;Lycoperdina succincta;brokig röksvampsbagge;Art;126;Jordbrukslandskap (J) - Stor betydelse;NT;B2ab(iii)
100703;6717;Combocerus glaber;;Art;29;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
102354;6727;Triplax rufipes;;Art;778;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
100885;6737;Zavaljus brunneus;umbrabagge;Art;42;Skog (S) - Stor betydelse;EN;B2ab(iii,iv)
100749;6760;Cryptolestes duplicatus;;Art;90;Skog (S) - Stor betydelse;VU;B2ab(iii)
101163;6769;Laemophloeus monilis;lindplattbagge;Art;271;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
101164;6770;Laemophloeus muticus;svart plattbagge;Art;290;Skog (S) - Stor betydelse;VU;B2ab(iii)c(iii,iv)
101412;6775;Notolaemus castaneus;;Art;18;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii,iv)
101413;6776;Notolaemus unifasciatus;;Art;65;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
100710;6783;Corticaria alleni;;Art;16;Skog (S) - Stor betydelse;VU;B2ab(iii)
105733;6787;Corticaria crenicollis;;Art;87;Skog (S) - Stor betydelse;NT;B2ab(iii)
